 Event;Date;Time;User/Messagenr.;Type/State/Recipe No./Messagetext;Name/Messagetext/File name;Old value;New value;Symbol name;
I;2017.04.07;10:37:40;student;D;Eingabe;0;1;dEnter;
I;2017.04.07;10:37:40;student;D;Eingabe;1;0;dEnter;
I;2017.04.07;10:37:40;student;A;Sollwert K¸hlzeit [sec];8,0;5,0;stKuehl;
I;2017.04.07;10:37:43;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:37:58;student;D;Taster Maschine starten;0;1;dTastSTART;
A;2017.04.07;10:38:13;0007;1;Elektrische Schlieﬂsicherung;
A;2017.04.07;10:38:17;0007;2;Elektrische Schlieﬂsicherung;
I;2017.04.07;10:38:18;student;D;Taster Pumpe einschalten;0;1;dTastPumpeEin;
I;2017.04.07;10:38:19;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:38:19;student;D;Taster Maschine starten;0;1;dTastSTART;
A;2017.04.07;10:38:20;0600;0;FTP-Zugriff;
A;2017.04.07;10:38:20;0007;0;Elektrische Schlieﬂsicherung;
I;2017.04.07;10:38:22;student;D;Taster Pumpe einschalten;0;1;dTastPumpeEin;
I;2017.04.07;10:38:23;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:38:24;student;D;Betriebsart Taster HALBAUTOMATIK EIN;0;1;dTastHAUTO;
I;2017.04.07;10:38:25;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:38:40;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:38:53;student;D;Eingabe;0;1;dEnter;
I;2017.04.07;10:38:53;student;D;Eingabe;1;0;dEnter;
I;2017.04.07;10:38:53;student;A;Druck Nachdruckprofil P7 [BAR];300;200;spNachdruckP7_sbar;
I;2017.04.07;10:38:57;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:39:23;student;D;Eingabe;0;1;dEnter;
I;2017.04.07;10:39:24;student;D;Eingabe;1;0;dEnter;
I;2017.04.07;10:39:24;student;A;Sollwert K¸hlzeit [sec];5,0;15,0;stKuehl;
I;2017.04.07;10:39:26;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:39:50;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:40:14;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:40:38;student;D;Betriebsart Taster AUTOMATIK EIN;0;1;dTastAUTO;
I;2017.04.07;10:40:40;student;D;Taster Maschine starten;0;1;dTastSTART;
A;2017.04.07;10:40:45;0600;1;FTP-Zugriff;
A;2017.04.07;10:41:26;0009;1;Werkzeugsicherung ausgelˆst;
I;2017.04.07;10:41:32;student;D;Betriebsart Taster AUTOMATIK EIN;0;1;dTastAUTO;
A;2017.04.07;10:41:33;0009;0;Werkzeugsicherung ausgelˆst;
I;2017.04.07;10:41:33;student;D;Taster Pumpe ausschalten;0;1;dTastPumpeAus;
I;2017.04.07;10:41:33;student;D;Taster Pumpe einschalten;0;1;dTastPumpeEin;
I;2017.04.07;10:41:34;student;D;Taster Pumpe einschalten;0;1;dTastPumpeEin;
I;2017.04.07;10:41:34;student;D;Taster Maschine starten;0;1;dTastSTART;
A;2017.04.07;10:41:48;0600;0;FTP-Zugriff;
A;2017.04.07;10:44:48;0600;1;FTP-Zugriff;
I;2017.04.07;10:45:14;student;D;Betriebsart Taster HALBAUTOMATIK EIN;0;1;dTastHAUTO;
I;2017.04.07;10:45:24;student;D;Taster Maschine starten;0;1;dTastSTART;
